,,combination163,combination163,combination163,combination163,combination199,combination199,combination199,combination199,combination198,combination198,combination198,combination198,combination23,combination23,combination23,combination23,combination22,combination22,combination22,combination22,combination59,combination59,combination59,combination59,combination95,combination95,combination95,combination95,combination146,combination146,combination146,combination146,combination164,combination164,combination164,combination164,combination162,combination162,combination162,combination162,combination145,combination145,combination145,combination145,combination182,combination182,combination182,combination182,combination144,combination144,combination144,combination144,combination180,combination180,combination180,combination180,combination181,combination181,combination181,combination181,combination5,combination5,combination5,combination5,combination41,combination41,combination41,combination41,combination21,combination21,combination21,combination21,combination110,combination110,combination110,combination110,combination128,combination128,combination128,combination128
iterations,,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000,500,2000,5000,30000
Function,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,Times1,3454.33511355214,2527.443030078644,4310.476818338823,3114.434763150003,3768.212102399536,2908.061367457166,2064.619386856004,3717.143403054132,4947.215764124139,3858.290658696133,3323.323089749169,3180.922471901403,3214.524271365492,2207.343279195685,3070.260678046308,598.6162103807395,3207.111553306626,3601.878656010627,3050.012448295017,1011.010550438371,3847.271772448372,3091.397917653678,2307.23490771803,228.8972040756871,4459.894156450824,2956.496972659418,3273.662254452182,466.0355911027282,4146.946917758777,6918.709387031785,5204.750694803705,4816.186199153255,2729.656510815088,3041.707812622495,2750.353687354607,4448.927364180948,3995.891879349341,4476.243831601088,3975.420897392024,3494.389264242234,6073.217395066444,6258.941236654474,5459.277969054286,3775.233203315103,4650.757523255127,5960.070347032081,5440.288636581394,4443.899476264362,7943.653637276288,5007.567570060474,5398.438001310535,5806.622500022932,5342.282514161816,7690.382532947392,5318.887335660372,6857.415490220664,7337.33085839344,7210.417713576764,4563.890855237846,3366.761552407329,6469.392602157246,5593.028543199489,6108.279974662937,1538.755628957034,5370.67649647964,4905.46495910308,3122.098187227297,856.4295935598457,6561.718159034289,3108.030890832603,2661.495182518327,2129.853143715682,5024.294366105904,4997.446731582371,5278.614509927907,3916.514113881259,2814.556447292809,3733.956862595684,3319.678874033734,2004.68120352155
F1,Times10,2909.829497186054,4813.109687467868,2539.685454791843,3403.235747757829,3308.677693979233,4364.915348181175,3946.473993722588,2776.133887349159,4023.780572927293,5392.875849453621,2912.593744913163,3216.911241955314,2146.280699414455,2779.687064320876,2257.42096815491,476.0470125672773,4977.931763045067,2904.411860893274,3073.077975385776,746.8876780699871,2865.617781773139,2680.110073389518,2930.609793923715,370.9519414648644,2997.421966036946,2762.199218126357,3406.685543694325,148.0717542027615,3758.255850598168,4466.107361033335,3687.877707267834,3243.027259955964,3185.545621359993,4585.304172190599,3154.774180386916,1848.521503652525,5153.567917831601,3786.47756898686,3987.000749754436,3849.310201900491,5631.616376280867,5125.829162865506,6152.267299886342,3921.442307729286,5066.259714739096,6570.775481439614,5039.797768950561,4613.477350191029,8904.753539728956,9552.766639235542,9156.77089692053,5698.55703323028,8553.898559231502,6786.770002853367,8792.114907487501,5263.861148375066,5957.301084000328,5300.724143492907,8161.864159299075,3561.577657973453,3069.954069193561,5399.212082352679,4420.767349205994,1152.676162223102,5425.450352228261,6421.642105758172,6225.640425207696,679.3346522906334,3135.83090459058,3164.611715021658,3401.290070190664,2302.121515417228,3619.784839305521,5319.051519877506,3787.093286410227,4734.606198409451,2344.017060158377,3053.381536082994,2701.953458603718,2052.642406691461
F1,Times2,3833.653818068187,4596.220776158741,3610.213479487945,3391.277225931176,3375.3524302642,4262.604342401518,3398.817759479454,4221.736371385249,4033.301754805948,3464.051549222305,3541.366007132409,3844.681008905618,2984.141387058242,3325.643489405508,2104.057464672987,842.7680551113855,4630.119070579792,2914.688476113967,3417.516629064957,842.7270689785287,2661.163115148789,3039.220419266221,3116.583200176172,361.1446593863181,2153.982159550549,3254.109737359053,3649.11348110527,665.7324011371833,7879.196597538249,5810.820654842752,3728.84647769903,6907.448555584481,3420.395088416457,3337.539112213864,4704.564519624084,2882.21152070954,5832.385530498138,3752.012483052381,3981.132616938047,3378.761266189503,5352.095715213214,4921.022202778404,5690.922205068393,5283.313109605727,5108.350433723813,6814.211096070093,6978.122556143573,3960.927157320154,6546.831207585582,6031.214234111292,7213.826599319957,7259.5314067051,7819.059691181666,6464.648928489006,7484.578706000249,4769.267694360747,6792.242605646283,8108.589959131261,4999.600090480693,4797.571232937524,5127.66417028892,7452.862504595885,2998.422516972796,1811.973965181076,5091.63112339502,5751.546847303395,4468.001459794988,839.5310600742893,3984.191099965349,4000.526435106073,3939.476292324516,2063.335608287567,3795.124774673875,5844.809794317714,8278.764263972756,4064.298694078398,3029.786777218531,3313.009729901071,2524.23138581621,2513.240640921707
F1,Times3,4780.689094515647,3389.734016213953,2667.883512972691,2493.037383841695,3156.76184523252,3777.576077342854,3020.734616185198,2065.582560665832,2928.534721036171,4400.68733784548,3999.529209375776,4343.358593403488,3187.256847300797,2608.13909174436,1528.590269298599,274.4174839463078,2663.592110656284,3631.484072943421,3329.455286584427,1873.926107712951,2904.303761427331,1941.626049107513,1884.382490872204,283.9623089428205,1665.498989571265,3172.37372882115,2884.542233252977,405.5438005061841,5815.492764778938,3487.111033603384,7749.643998509828,3569.664924078893,2627.732879263123,2505.202170607236,3968.961119481442,1839.216193473144,4167.582627180675,3677.682241961266,3562.148430315358,3890.862451384314,6392.861852714658,6427.671337012622,7706.853624834132,5277.516751699897,4811.047661350929,4565.983067210933,6199.225850351659,3066.899798830646,5269.698169019031,4552.644393478553,4618.36095863332,6265.339731472561,7440.31251537518,4795.500987555053,8620.370370071654,6052.054640896721,10312.34226782944,5169.764810102835,4304.435107159921,5240.514846657757,7590.85509204639,4351.191085573298,4025.703118140987,986.4212100349428,3783.193467132849,4689.316929383461,4506.927019890272,976.5275191118938,4766.595380559321,5163.638447924831,4646.515461570762,1485.587311508645,4827.221559186642,7379.058391972087,5733.67315836853,5414.530911081919,2011.791168984075,3569.090648577629,3533.970115093196,1932.531830353293
F1,Times4,2672.394266372429,2621.950183431972,4665.926790235638,2941.719687708433,2693.913544374222,4400.284733923314,2687.326090729071,3498.391219560795,4513.844065408263,4436.92785098864,4091.047261731815,4062.061985251135,3259.494305758089,3640.594118511623,3262.779971609933,457.1486789029793,3879.504824953673,2661.521475948761,2878.048316528053,1355.498735159369,2753.114644202883,2703.528175269212,2709.039047588378,246.7188994873633,3296.579637483723,2587.484222359881,2246.859293290916,139.1872734952972,4523.154573467607,3524.084186151661,6411.437791566397,3871.719456180634,2735.574663157123,2530.395352608478,3389.069290311913,2109.523525244952,4324.822712890893,2906.680659870204,3216.095999561146,4963.453692970917,6556.689947269881,4719.638883694578,8305.579293347295,5185.731968839485,6068.279077565474,3205.884295348786,4418.897595920197,3817.864949472203,7678.600007530566,4100.175915486543,5514.817965079711,5493.22435286611,11701.612885285,5221.314425343357,6083.096851996189,5071.967770494703,3796.521502004408,6923.172025968591,4449.148042877505,4800.583434525537,4443.535556094321,7588.04224886887,4104.856858528162,1301.280815197968,3503.289512450469,4708.382175657426,6529.068095764137,488.6073764727645,3968.848827794512,3870.615795248627,5296.714321106893,945.3346212802355,5284.787909984952,4555.822789124871,6690.11459072242,6894.218056312357,4027.765428627848,4095.211293394497,2219.214807595586,3673.253564160357
F1,Times5,4387.280398066058,2825.62149836963,2134.748534840792,3734.058706401369,4394.394549719837,3893.485566038546,4450.613201335856,2410.659924136631,6227.065122519294,4430.195716621871,3904.185345412665,3164.793113692074,2931.499473149852,3365.104190805864,2547.62218433422,724.2227956942447,2707.905654481962,4089.125468546874,3283.144828785271,1568.996425024134,3209.003133413318,2201.468011574254,3308.927946728751,242.5398140972504,2915.149478704715,2873.892543491382,2983.966100770397,207.7839626851758,6004.827746994369,5047.078857493295,4555.845073796733,4160.558367486135,2930.44540141743,2562.793999643323,3243.502256829943,4225.489381092326,5134.699747055199,3186.408427632375,5400.805837808341,3996.880656492551,7016.98284724692,4867.477738848537,6245.22067336923,4859.065203514254,6370.297397347212,3963.975047133069,6210.908733466364,4929.036754981737,7847.12419054038,6632.646807107995,4462.91019635797,4942.975421517865,7639.051583710422,7434.881123061409,7171.226167635416,5250.205656188504,4683.358338476532,6215.078732236235,6744.70921686761,6050.806012596948,5369.235820195272,6846.362667523588,3248.809122791634,1102.356457383352,3285.040341100861,4559.504285137253,4648.238360136154,624.5053032290565,4132.372387317208,4675.400647651206,2613.693886044654,1085.941988599176,5233.891637913243,4350.023186906405,6078.874280802489,5269.824033321504,3101.758806254703,3000.068653444601,3235.99345104075,2642.115611082584
F1,Times6,3385.81823766534,4620.07210582086,4022.415700918144,3103.569983507103,3184.291252471852,3092.700722858907,3352.939720520877,1983.475088097589,6167.415031128446,3983.06006133017,4786.372402507889,1932.337342136424,2839.681706064206,2996.710371656117,3603.99390572083,751.0886053381887,3766.641809908615,3138.372281634223,4390.932382206636,1147.03432296923,3697.149411282163,1543.714812995564,2936.127119767979,484.5329775720535,3442.91413757705,2765.613895988678,3167.334286300654,265.7351762053837,5611.838691702952,5535.457254205938,6486.986381188088,3209.876180476265,3056.185387875381,2892.786522913942,3007.353414838977,2681.281353175298,5561.672330550416,3692.837426001286,3800.154554883093,5539.758639391166,4826.463405882718,7784.236156095946,4613.596601519625,6121.187731825054,5847.68605911343,6717.24803276987,3763.540075040278,3706.643813099944,4692.140326895238,8692.522721033545,7863.301785439292,5027.611968725961,5550.490763890374,6027.2161091875,7415.721815435593,4795.188512004277,6037.751077348771,5448.843334317673,5485.810201063575,4796.850515918065,4230.039569296014,5373.15124776071,6551.002203363817,1062.99235883445,5871.680783703097,4539.973056297586,4216.443024459422,307.2250233202536,3993.334579418771,4470.463593825662,3472.532856000989,1348.810824505386,5588.967033576191,5037.8570496453,3654.127369859975,3875.023381215585,2572.290586890098,4131.211098105804,4285.525223613523,1994.439813581531
F1,Times7,3470.454500777941,3511.904688630125,3787.269040920487,2957.403668966945,4377.175030173348,3572.672481084721,2482.130564045217,2937.660993053183,3274.421365147808,4027.456823512003,4095.884889772269,4175.509128948469,4598.296953778657,2451.409756141008,2207.292899546007,1452.704548097798,4537.131641560591,3774.552428577804,4721.811742343002,2012.742386865139,2983.846606230435,1524.792484855837,2966.774030293464,607.968365211404,2916.726165517106,2516.904514163294,1892.761917605803,273.1151964522419,7153.217870299894,4576.714936663053,6069.377477092306,4435.2193458479,3686.083435654161,2896.21779448088,2525.452760436584,2422.954123734851,4477.436830351875,3782.123668305081,5279.033025331516,5062.04877832027,6884.808146265367,5117.788972064058,5942.471462675166,5638.57599125615,6568.042086371203,3828.715288780878,5125.623816099966,4159.419380339261,4344.201880647588,5898.158701503142,5808.971804744494,3786.722131033143,6706.37542112675,6125.798177451695,4929.079478639834,9363.97316801505,4004.822702675347,6227.818618541814,5932.461759904646,5661.098419715828,4944.283412345514,4995.527118623512,3372.911723512628,1412.1997468218,4644.031597755209,4120.317714324637,4272.284247673636,861.8735917218905,3364.291395730968,5068.231877736798,4492.400349228259,1552.755909982174,6611.269991099777,5586.524550547364,5400.013598041584,5053.593492062399,3498.948660782119,2338.324169174711,3441.553816130563,2504.803120974469
