Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F2,Times1,1.066330369589381e+41,4.86131166441526e+42,3.265310835011413e+45,344.5312902499231,70598925359.42279,1512.191796101818,8505474898614942.0,1.763654586375889e+17,6.2070980977013645e+38,1.0049001016848148e+44,1.439092731447441e+44,2.569056078370244e+46,5.394590759134127e+46,2.322079926169776e+48,2.651748516343996e+51,369.6169393646778,4847.684274445565,1648.687003619368,1341.50896924135,1.262627255827943e+36
F2,Times2,5.236187225779344e+37,7.315864736508091e+35,2.3496485857440879e+52,478.5386533226677,341.4644904649263,740829.461877526,1262.660107164199,4.322647657919378e+38,4.06129269131665e+35,6.367144224957247e+43,2.835973862750296e+36,1.86940393716968e+49,4.732599792856785e+49,4.3023096490363545e+50,1.223714286535001e+43,421.1578666494423,1.173920902935971e+21,5.021825881851044e+30,1.060444846394701e+18,5.850491083829555e+25
F2,Times3,8.76793344546351e+36,1.1793287528332649e+43,5.3770103660239945e+50,478.9386671007014,1.256270608884021e+23,1522.200610558886,8091075.94493578,2.710187886853754e+43,5.12099165577847e+34,9.55058291557412e+56,4.2585925167584266e+43,4.271920696620921e+49,5.268594261239235e+45,4.433336839250513e+49,1.6901058194753092e+41,16495.60024930616,1336.902064190434,549064851660.6983,173735821802761.1,1.926646216568388e+28
F2,Times4,1.006195567426787e+47,1.235913885508295e+34,4.5895018116647235e+38,430.3082870191874,1294.566829315815,392324877.2680388,2.568705142158132e+21,2.448884002305108e+35,3.4049948730590936e+43,2.9634973580069126e+44,5.166782292388109e+47,2.047905140222044e+45,2.390077027889919e+57,4.883514756180125e+51,6.5354648732692e+56,297.794996049525,1.413068699320045e+16,2788494936.820791,353275065646675.4,61015509246092.43
F2,Times5,5.749304503644002e+39,3.939499685510516e+43,1.4869228373196438e+48,243.0374443628302,1.038133111811328e+26,22716472137.134,1.076048977339019e+33,5.033343650065422e+24,5.237235247888558e+22,1.196295550941469e+49,9.92624576859321e+44,1.558051107994564e+45,1.320991598231068e+55,8.227609464540943e+53,3.846894067080925e+47,318.4415013595851,1400.562552909572,1.781974060434875e+39,1.340056972323693e+27,1462.120783266868
F2,Times6,7.168407330108837e+22,1.973448912015436e+39,4.416092320384393e+50,304.0860356335838,475.1540135851814,290.0699987421024,1512.163064703253,1.306396117163317e+21,3356263220029385.0,1.0410308034304931e+47,1.171564196351754e+43,5.515427991738124e+39,3.809735826990324e+56,7.695123315823672e+45,3.3337751691590877e+44,453.8812579040153,38431628477585.55,1202.054090804616,5.450073887865502e+16,6.977523695660699e+25
F2,Times7,1.051448072994806e+47,1.54907353832359e+49,7.017476891893842e+46,421.773023547566,6.559512284134255e+20,2.354685369505184e+17,1.301765876587228e+17,9.80553628793586e+39,6.898213572896253e+33,2.114919943614756e+55,7.118142145218198e+50,5.706836570774053e+41,1.0740021117382069e+44,3.8539171497564187e+49,3.0539164488840502e+44,362.9766588963121,1.970119266909446e+25,19692.68349688248,1.465757304568159e+29,1434.914924303174
F2,Times8,2.271613193044545e+36,1.414685122025544e+39,9.66164957417466e+43,514.5819278856711,7.50756975469842e+30,375.7192199568205,1186.049184565216,9.575777149763648e+35,1.598260515646171e+37,1.792615444259168e+42,5.424042011903177e+47,7.735804540469396e+42,5.0248087727025386e+48,1.184196696094431e+54,3.0346080809952978e+54,641.2799192305603,2348470299572694.0,2123680487276846.0,2.89944905046868e+32,9.281231075769984e+34
F2,Times9,2.232214238644269e+41,1.137632285128445e+37,1.960927093199007e+46,586.6207231855963,547.678723993875,356077667.5504506,414.2501463856881,3.253234588319082e+40,4.893656420690298e+37,2.224199364499275e+52,6.554306376111004e+30,1.145694566873715e+47,6.247640399615158e+49,7.017335772788536e+53,1.892980568066505e+39,485.8848043444812,1.637523998868029e+23,448.6950299120628,619470089097888.9,1208796751785498.0
F2,Times10,3.5644585241682767e+49,8.226393796816873e+32,9.03617704455851e+53,740.6730294445057,560.8149640045251,971.0006925129512,430.5094125429459,1.722180171785625e+43,4.695957956927516e+30,5.405922863718524e+49,3.2869724325473765e+38,2.748469192689524e+40,5.213714261210621e+36,3.25090214800969e+51,1.15331940490059e+47,314.7296233626978,1476.882363156613,1303.225816573994,1756895669804.044,6.090898625841608e+23
