,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,threshold,dimensions,gg,selection_method,fitness_function,algorithm
44,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,7,Baldwin
45,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,8,Baseline
46,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,8,Lamarck
47,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,8,Baldwin
48,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,10,Baseline
49,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,10,Lamarck
50,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,10,Baldwin
51,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,13,Baseline
52,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,13,Lamarck
53,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,sorted_selection_all,13,Baldwin
54,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,1,Baseline
55,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,1,Lamarck
56,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,1,Baldwin
57,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,5,Baseline
58,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,5,Lamarck
59,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,5,Baldwin
60,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,7,Baseline
61,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,7,Lamarck
62,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,7,Baldwin
63,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,8,Baseline
64,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,8,Lamarck
65,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,8,Baldwin
66,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,10,Baseline
67,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,10,Lamarck
68,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,10,Baldwin
69,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,13,Baseline
70,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,13,Lamarck
71,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.01,roulette_Wheel_Select,13,Baldwin
72,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,1,Baseline
73,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,1,Lamarck
74,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,1,Baldwin
75,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,5,Baseline
76,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,5,Lamarck
77,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,5,Baldwin
78,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,7,Baseline
79,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,7,Lamarck
80,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,7,Baldwin
81,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,8,Baseline
82,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,8,Lamarck
83,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,8,Baldwin
84,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,10,Baseline
85,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,10,Lamarck
86,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,10,Baldwin
87,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,13,Baseline
88,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,13,Lamarck
89,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,SSGA,13,Baldwin
90,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,1,Baseline
91,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,1,Lamarck
92,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,1,Baldwin
93,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,5,Baseline
94,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,5,Lamarck
95,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,5,Baldwin
96,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,7,Baseline
97,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,7,Lamarck
98,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,7,Baldwin
99,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,8,Baseline
100,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,8,Lamarck
101,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,8,Baldwin
102,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,10,Baseline
103,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,10,Lamarck
104,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,10,Baldwin
105,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,13,Baseline
106,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,13,Lamarck
107,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_part,13,Baldwin
108,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,1,Baseline
109,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,1,Lamarck
110,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,1,Baldwin
111,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,5,Baseline
112,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,5,Lamarck
113,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,5,Baldwin
114,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,7,Baseline
115,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,7,Lamarck
116,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,7,Baldwin
117,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,8,Baseline
118,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,8,Lamarck
119,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,8,Baldwin
120,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,10,Baseline
121,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,10,Lamarck
122,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,10,Baldwin
123,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,13,Baseline
124,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,13,Lamarck
125,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,sorted_selection_all,13,Baldwin
126,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,1,Baseline
127,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,1,Lamarck
128,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,1,Baldwin
129,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,5,Baseline
130,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,5,Lamarck
131,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,5,Baldwin
132,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,7,Baseline
133,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,7,Lamarck
134,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,7,Baldwin
135,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,8,Baseline
136,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,8,Lamarck
137,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,8,Baldwin
138,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,10,Baseline
139,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,10,Lamarck
140,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,10,Baldwin
141,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,13,Baseline
142,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,13,Lamarck
143,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.2,roulette_Wheel_Select,13,Baldwin
144,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,1,Baseline
145,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,1,Lamarck
146,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,1,Baldwin
147,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,5,Baseline
148,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,5,Lamarck
149,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,5,Baldwin
150,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,7,Baseline
151,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,7,Lamarck
152,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,7,Baldwin
