,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88
F18,Times1,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.02e+00,3.01e+00,3.09e+00,3.08e+00,3.08e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.02e+00,3.00e+00,3.01e+00,3.05e+00,3.07e+00,3.05e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.02e+00,3.01e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.18e+00,3.00e+00,3.03e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.09e+00,3.11e+00,3.01e+00
F18,Times2,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.05e+00,3.01e+00,3.07e+00,3.19e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.03e+00,3.01e+00,3.01e+00,3.12e+00,3.02e+00,3.02e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.02e+00,3.00e+00,3.01e+00,3.06e+00,3.12e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.01e+00,3.05e+00,3.04e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.01e+00,3.15e+00,3.01e+00,3.03e+00
F18,Times3,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.01e+00,3.03e+00,3.03e+00,3.08e+00,3.07e+00,3.10e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.01e+00,3.05e+00,3.00e+00,3.07e+00,3.05e+00,3.02e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.01e+00,3.04e+00,3.03e+00,3.05e+00,3.03e+00,3.00e+00,3.00e+00,3.00e+01,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.07e+00,3.07e+00,3.02e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.02e+00,3.05e+00,3.14e+00,3.39e+00,3.05e+00
F18,Times4,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.46e+00,3.02e+00,3.04e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.04e+00,3.01e+00,3.02e+00,3.05e+00,3.10e+00,3.06e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.04e+00,3.02e+00,3.00e+00,3.15e+00,3.02e+00,3.16e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.02e+00,3.01e+00,3.12e+00,3.02e+00,3.08e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.06e+00,3.01e+00,3.51e+00,3.04e+00,3.12e+00
F18,Times5,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.05e+00,3.00e+00,3.02e+00,3.19e+00,3.01e+00,3.16e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.03e+00,3.01e+00,3.10e+00,3.06e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.00e+00,3.00e+00,3.42e+00,3.10e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.08e+00,3.03e+00,3.06e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.02e+00,3.02e+00,3.15e+00,3.02e+00,3.11e+00
F18,Times6,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.02e+00,3.08e+00,3.05e+00,3.04e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.01e+00,3.02e+00,3.04e+00,3.19e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.01e+00,3.03e+00,3.03e+00,3.06e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.07e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.05e+00,3.01e+00,3.03e+00,3.00e+00,3.07e+00
F18,Times7,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.02e+00,3.27e+00,3.07e+00,3.14e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.03e+00,3.02e+00,3.07e+00,3.05e+00,3.09e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.33e+00,3.02e+00,3.03e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.02e+00,3.00e+00,3.01e+00,3.01e+00,3.14e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.25e+00,3.30e+00,3.11e+00
F18,Times8,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.14e+00,3.14e+00,3.13e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.00e+00,3.01e+00,3.04e+00,3.15e+00,3.17e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.05e+00,3.02e+00,3.11e+00,3.07e+00,3.21e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.02e+00,3.03e+00,3.01e+00,3.11e+00,3.01e+00,3.25e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.00e+00,3.04e+00,3.09e+00,3.11e+00,3.09e+00
F18,Times9,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.03e+00,3.07e+00,3.11e+00,3.05e+00,3.03e+00,3.00e+00,3.00e+01,3.00e+01,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.01e+00,3.01e+00,3.03e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.04e+00,3.02e+00,3.33e+00,3.05e+00,3.00e+00,3.00e+00,3.00e+01,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.00e+00,3.03e+00,3.00e+00,3.02e+00,3.03e+00,3.05e+00,3.08e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.02e+00,3.03e+00,3.01e+00,3.05e+00,3.01e+00,3.02e+00
F18,Times10,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.01e+00,3.03e+00,3.08e+00,3.11e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.02e+00,3.00e+00,3.11e+00,3.03e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.01e+00,3.01e+00,3.02e+00,3.07e+00,3.02e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.01e+00,3.04e+00,3.16e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.00e+00,3.01e+00,3.00e+00,3.02e+00,3.01e+00,3.16e+00,3.07e+00
